16011227 -2406,
16020925 -4721,
16021016 -1220,
16031219 -6447,
16041006 -6260,
16041021 -1031,
16050120 -2154,
16060806 -9779,
16070406 -9079,
16080318 -1080,
16080502 -4155,
16080919 -3204,
16081224 -8078,
16090513 -6586,
16101102 -7586,
16111019 -9104,
16121004 -5710,
16130306 -7852,
16130415 -3099,
16130516 -8922,
16150206 -6952,
16151230 -7040,
16180609 -3355,
16180708 -6770,
16200110 -3536,
16201213 -5204,
16220427 -9356,
16240611 -4732,
16250817 -4725,
16251115 -0407,
16251218 -7879,
16260225 -9752,
16260502 -4930,
16270214 -1363,
16270912 -2937,
16280503 -1214,
16281223 -9701,
16290503 -0157,
16300316 -5994,
16310603 -2299,
16330811 -6452,
16340312 -2272,
16341104 -4799,
16360415 -9206,
16400407 -9929,
16400911 -5116,
16401215 -4698,
16410101 -9257,
16420919 -0273,
16421126 -4389,
16440819 -7061,
16450504 -5361,
16450810 -9313,
16460113 -9811,
16460604 -6466,
16461030 -5437,
16470610 -2318,
16471021 -5130,
16471206 -4205,
16491126 -2741,
16530807 -3914,
16550619 -2243,
16550818 -9072,
16551206 -9443,
16560813 -2485,
16570420 -6217,
16581230 -1090,
16590402 -0566,
16620524 -4103,
16630330 -5434,
16630713 -9094,
16641214 -6075,
16650220 -1178,
16650925 -2356,
16661115 -5612,
16670718 -1555,
16700321 -7002,
16701121 -7358,
16710317 -1844,
16730807 -8711,
16750901 -1644,
16760712 -1881,
16780719 -2765,
16800107 -3173,
16831013 -5374,
16840721 -0411,
16840911 -5899,
16850126 -4215,
16850514 -9578,
16860601 -0406,
16861115 -6038,
16870622 -1986,
16870630 -0384,
16890907 -0545,
16900216 -9002,
16901030 -0110,
16920423 -0131,
16940802 -1906,
16960922 -0372,
16991029 -1054,
